directFractionalCadence,directTimestamp,sumDistance,directCorrectedElevation,directHeartRate,directDoubleCadence,directLongitude,sumElapsedDuration,directSpeed,directElevation,directUncorrectedElevation,sumMovingDuration,directLatitude,directRunCadence,sumDuration,directVerticalSpeed,elapsed_s
0.0,1787872712000.0,988.5700073242188,96.4000015258789,143.0,152.0,106.8899009283632,649.0,1.5770000219345093,96.4000015258789,108.19999694824219,641.0,-6.436766618862748,76.0,649.0,-0.03099999949336052,649.0
0.0,1787872717000.0,998.3200073242188,96.0,145.0,154.0,106.88985390588641,654.0,1.5859999656677246,96.0,108.5999984741211,646.0,-6.4368407148867846,77.0,654.0,-0.0820000022649765,654.0
0.0,1787872719000.0,1001.6099853515625,96.0,146.0,154.0,106.88984133303165,656.0,1.5959999561309814,96.0,109.0,648.0,-6.436868039891124,77.0,656.0,-0.04100000113248825,656.0
0.0,1787872728000.0,1016.47998046875,95.80000305175781,145.0,152.0,106.88976103439927,665.0,1.6239999532699585,95.80000305175781,109.80000305175781,657.0,-6.436975412070751,76.0,665.0,-0.00800000037997961,665.0
0.0,1787872739000.0,1035.550048828125,96.19999694824219,145.0,154.0,106.88963606022298,676.0,1.6419999599456787,96.19999694824219,109.80000305175781,668.0,-6.437094183638692,77.0,676.0,0.03099999949336052,676.0
0.0,1787872747000.0,1048.510009765625,97.0,143.0,150.0,106.88957143574953,684.0,1.6519999504089355,97.0,110.80000305175781,676.0,-6.437187558040023,75.0,684.0,0.09300000220537186,684.0
0.5,1787872751000.0,1054.56005859375,97.0,140.0,149.0,106.88954243436456,688.0,1.6519999504089355,97.0,111.19999694824219,680.0,-6.4372339099645615,74.0,688.0,0.035999998450279236,688.0
0.0,1787872754000.0,1059.25,97.19999694824219,139.0,146.0,106.88951921649277,691.0,1.6419999599456787,97.19999694824219,111.5999984741211,683.0,-6.437269365414977,73.0,691.0,0.0020000000949949026,691.0
0.5,1787872763000.0,1073.449951171875,97.4000015258789,140.0,149.0,106.88946506939828,700.0,1.6050000190734863,97.4000015258789,110.4000015258789,692.0,-6.4373838622123,74.0,700.0,0.027000000700354576,700.0
0.0,1787872771000.0,1087.1300048828125,97.5999984741211,140.0,154.0,106.88942818902433,708.0,1.6239999532699585,97.5999984741211,109.5999984741211,700.0,-6.437502466142178,77.0,708.0,0.029999999329447746,708.0
0.5,1787872779000.0,1100.6400146484375,96.80000305175781,140.0,155.0,106.88939097337425,716.0,1.6330000162124634,96.80000305175781,108.80000305175781,708.0,-6.437618471682072,77.0,716.0,-0.10199999809265137,716.0
0.0,1787872785000.0,1110.02001953125,96.4000015258789,143.0,152.0,106.88936691731215,722.0,1.6519999504089355,96.4000015258789,108.5999984741211,714.0,-6.437699776142836,76.0,722.0,-0.0729999989271164,722.0
0.0,1787872790000.0,1117.5999755859375,96.0,142.0,150.0,106.88934495672584,727.0,1.6419999599456787,96.0,108.4000015258789,719.0,-6.437764735892415,75.0,727.0,-0.06599999964237213,727.0
0.5,1787872794000.0,1124.93994140625,95.5999984741211,139.0,149.0,106.8893311265856,731.0,1.6419999599456787,95.5999984741211,108.19999694824219,723.0,-6.437829611822963,74.0,731.0,-0.1080000028014183,731.0
0.0,1787872800000.0,1134.52001953125,94.80000305175781,140.0,150.0,106.88930111937225,737.0,1.6419999599456787,94.80000305175781,108.5999984741211,729.0,-6.437910497188568,75.0,737.0,-0.12099999934434891,737.0
0.0,1787872809000.0,1146.449951171875,94.0,140.0,152.0,106.88926775939763,746.0,1.6330000162124634,94.0,107.80000305175781,738.0,-6.4380137622356415,76.0,746.0,-0.09200000017881393,746.0
