directLatitude,directDoubleCadence,directFractionalCadence,sumElapsedDuration,directTimestamp,directRunCadence,sumDuration,sumMovingDuration,sumDistance,directLongitude,directUncorrectedElevation,directSpeed,directElevation,directCorrectedElevation,directHeartRate,directVerticalSpeed,elapsed_s
-6.435624249279499,161.0,0.5,524.0,1789513767000.0,80.0,524.0,515.0,833.6199951171875,106.89047064632177,106.80000305175781,1.6979999542236328,95.0,95.0,135.0,-0.014999999664723873,524.0
-6.435667499899864,163.0,0.5,532.0,1789513775000.0,81.0,532.0,523.0,847.4600219726562,106.8903538864106,106.5999984741211,1.7170000076293945,95.0,95.0,135.0,0.014999999664723873,532.0
-6.435763305053115,161.0,0.5,541.0,1789513784000.0,80.0,541.0,532.0,862.8400268554688,106.89025623723865,108.0,1.7259999513626099,96.0,96.0,136.0,0.11599999666213989,541.0
-6.435902779921889,165.0,0.5,549.0,1789513792000.0,82.0,549.0,540.0,879.510009765625,106.89020049758255,108.80000305175781,1.7640000581741333,97.19999694824219,97.19999694824219,135.0,0.1509999930858612,549.0
-6.436032531782985,165.0,0.5,556.0,1789513799000.0,82.0,556.0,547.0,894.239990234375,106.89016973599792,109.80000305175781,1.8009999990463257,98.4000015258789,98.4000015258789,138.0,0.15000000596046448,556.0
-6.436049044132233,164.0,0.0,557.0,1789513800000.0,82.0,557.0,548.0,896.22998046875,106.89016252756119,110.0,1.809999942779541,98.5999984741211,98.5999984741211,139.0,0.17800000309944153,557.0
-6.436203187331557,165.0,0.5,565.0,1789513808000.0,82.0,565.0,556.0,914.1400146484375,106.89011584036052,111.4000015258789,1.875,99.0,99.0,139.0,0.05999999865889549,565.0
-6.436349451541901,165.0,0.5,574.0,1789513817000.0,82.0,574.0,565.0,931.3599853515625,106.89006261527538,111.19999694824219,1.9129999876022339,98.5999984741211,98.5999984741211,140.0,-0.054999999701976776,574.0
-6.436485573649406,159.0,0.5,583.0,1789513826000.0,79.0,583.0,574.0,947.2999877929688,106.89001768827438,111.4000015258789,1.930999994277954,97.5999984741211,97.5999984741211,141.0,-0.09000000357627869,583.0
-6.436609290540218,161.0,0.5,591.0,1789513834000.0,80.0,591.0,582.0,961.8200073242188,106.88997460529208,111.5999984741211,1.940999984741211,97.0,97.0,141.0,-0.07800000160932541,591.0
-6.436704592779279,157.0,0.5,598.0,1789513841000.0,78.0,598.0,589.0,972.8900146484375,106.88994543626904,111.80000305175781,1.8940000534057617,96.80000305175781,96.80000305175781,140.0,-0.03099999949336052,598.0
-6.436807690188289,163.0,0.5,606.0,1789513849000.0,81.0,606.0,597.0,985.8900146484375,106.88988919369876,112.19999694824219,1.8289999961853027,96.4000015258789,96.4000015258789,140.0,-0.054999999701976776,606.0
-6.436950098723173,163.0,0.5,617.0,1789513860000.0,81.0,617.0,608.0,1005.1300048828125,106.88979087397456,113.0,1.809999942779541,95.80000305175781,95.80000305175781,143.0,-0.052000001072883606,617.0
-6.437004916369915,157.0,0.5,623.0,1789513866000.0,78.0,623.0,614.0,1014.5,106.88972742296755,113.5999984741211,1.809999942779541,96.0,96.0,144.0,0.012000000104308128,623.0
-6.4370412938296795,161.0,0.5,627.0,1789513870000.0,80.0,627.0,618.0,1021.010009765625,106.88968115486205,113.19999694824219,1.8009999990463257,96.0,96.0,141.0,-0.003000000026077032,627.0
-6.4370872266590595,162.0,0.0,631.0,1789513874000.0,81.0,631.0,622.0,1028.8599853515625,106.88962700776756,112.4000015258789,1.7910000085830688,96.0,96.0,138.0,0.012000000104308128,631.0
-6.437100470066071,167.0,0.5,632.0,1789513875000.0,83.0,632.0,623.0,1030.5699462890625,106.88961896114051,112.19999694824219,1.7910000085830688,96.0,96.0,139.0,0.12200000137090683,632.0
-6.437163753435016,164.0,0.0,637.0,1789513880000.0,82.0,637.0,628.0,1039.0899658203125,106.88957512378693,111.19999694824219,1.809999942779541,96.5999984741211,96.5999984741211,142.0,0.10199999809265137,637.0
-6.437210189178586,157.0,0.5,640.0,1789513883000.0,78.0,640.0,631.0,1044.9000244140625,106.88955140300095,110.5999984741211,1.809999942779541,97.0,97.0,144.0,0.1469999998807907,640.0
-6.437366595491767,159.0,0.5,650.0,1789513893000.0,79.0,650.0,641.0,1063.2099609375,106.88949775882065,108.5999984741211,1.819000005722046,97.5999984741211,97.5999984741211,143.0,0.054999999701976776,650.0
-6.437429962679744,159.0,0.5,654.0,1789513897000.0,79.0,654.0,645.0,1070.550048828125,106.88947789371014,108.80000305175781,1.8289999961853027,97.80000305175781,97.80000305175781,140.0,0.05999999865889549,654.0
-6.437521744519472,158.0,0.0,661.0,1789513904000.0,79.0,661.0,652.0,1081.3599853515625,106.88944419845939,109.19999694824219,1.8289999961853027,97.5999984741211,97.5999984741211,138.0,-0.017999999225139618,661.0
-6.437665997073054,163.0,0.5,671.0,1789513914000.0,81.0,671.0,662.0,1098.5799560546875,106.88938544131815,109.5999984741211,1.7730000019073486,96.5999984741211,96.5999984741211,136.0,-0.10999999940395355,671.0
-6.437843861058354,161.0,0.5,683.0,1789513926000.0,80.0,683.0,674.0,1119.3299560546875,106.88932559452951,110.19999694824219,1.7359999418258667,95.4000015258789,95.4000015258789,136.0,-0.09700000286102295,683.0
-6.437859535217285,161.0,0.5,684.0,1789513927000.0,80.0,684.0,675.0,1121.1700439453125,106.88931989483535,110.19999694824219,1.7359999418258667,95.19999694824219,95.19999694824219,136.0,-0.1379999965429306,684.0
-6.438033962622285,161.0,0.5,694.0,1789513937000.0,80.0,694.0,685.0,1141.5,106.88926231116056,111.19999694824219,1.7730000019073486,93.80000305175781,93.80000305175781,135.0,-0.14100000262260437,694.0
