directLongitude,directLatitude,directFractionalCadence,directDoubleCadence,directRunCadence,directSpeed,directElevation,sumDistance,directHeartRate,directCorrectedElevation,directUncorrectedElevation,sumDuration,sumMovingDuration,sumElapsedDuration,directTimestamp,directVerticalSpeed,elapsed_s
106.8900409899652,-6.4364248886704445,0.5,155.0,77.0,1.5959999561309814,98.0,873.469970703125,134.0,98.0,107.4000015258789,525.0,517.0,525.0,1785885368000.0,-0.10400000214576721,525.0
106.88998290337622,-6.436576098203659,0.0,160.0,80.0,1.6239999532699585,97.19999694824219,891.3800048828125,137.0,97.19999694824219,110.4000015258789,534.0,526.0,534.0,1785885377000.0,-0.09799999743700027,534.0
106.88997603021562,-6.436590347439051,0.0,160.0,80.0,1.6330000162124634,97.0,893.1300048828125,137.0,97.0,110.5999984741211,535.0,527.0,535.0,1785885378000.0,-0.0989999994635582,535.0
106.88995591364801,-6.436651619151235,0.0,160.0,80.0,1.6610000133514404,96.80000305175781,900.280029296875,140.0,96.80000305175781,111.0,539.0,531.0,539.0,1785885382000.0,-0.07000000029802322,539.0
106.88992951065302,-6.436726721003652,0.0,160.0,80.0,1.6890000104904175,96.80000305175781,909.0700073242188,143.0,96.80000305175781,110.80000305175781,543.0,535.0,543.0,1785885386000.0,-0.027000000700354576,543.0
106.88991802744567,-6.436755638569593,0.0,162.0,81.0,1.7079999446868896,96.5999984741211,912.510009765625,143.0,96.5999984741211,110.80000305175781,545.0,537.0,545.0,1785885388000.0,-0.03099999949336052,545.0
106.88988944515586,-6.436821687966585,0.0,0.0,0.0,1.7079999446868896,96.4000015258789,920.5599975585938,143.0,96.4000015258789,111.4000015258789,552.0,544.0,552.0,1785885395000.0,-0.02500000037252903,552.0
106.8898047041148,-6.436933167278767,0.0,0.0,0.0,1.5770000219345093,95.80000305175781,936.030029296875,143.0,95.80000305175781,113.19999694824219,562.0,554.0,562.0,1785885405000.0,-0.0729999989271164,562.0
106.88972264528275,-6.437019249424338,0.5,109.0,54.0,1.5119999647140503,96.19999694824219,949.2100219726562,142.0,96.19999694824219,112.80000305175781,573.0,565.0,573.0,1785885416000.0,0.032999999821186066,573.0
106.8896767962724,-6.43705353140831,0.5,111.0,55.0,1.4559999704360962,96.0,955.5700073242188,139.0,96.0,112.19999694824219,577.0,569.0,577.0,1785885420000.0,-0.010999999940395355,577.0
106.88964528031647,-6.437092591077089,0.5,113.0,56.0,1.437000036239624,96.4000015258789,961.25,139.0,96.4000015258789,111.4000015258789,581.0,573.0,581.0,1785885424000.0,0.06199999898672104,581.0
106.88957001082599,-6.437165513634682,0.0,114.0,57.0,1.343999981880188,96.5999984741211,972.8300170898438,135.0,96.5999984741211,109.5999984741211,590.0,582.0,590.0,1785885433000.0,0.02500000037252903,590.0
106.8895140197128,-6.437261905521154,0.0,112.0,56.0,1.305999994277954,97.0,985.1900024414062,133.0,97.0,109.19999694824219,600.0,592.0,600.0,1785885443000.0,0.04500000178813934,600.0
106.88949809409678,-6.4372839499264956,0.0,112.0,56.0,1.305999994277954,97.0,988.1900024414062,130.0,97.0,109.19999694824219,602.0,594.0,602.0,1785885445000.0,-0.007000000216066837,602.0
106.88945760950446,-6.437376821413636,0.5,159.0,79.0,1.3250000476837158,97.19999694824219,999.489990234375,127.0,97.19999694824219,108.5999984741211,608.0,600.0,608.0,1785885451000.0,0.039000000804662704,608.0
106.88945417292416,-6.4373979438096285,0.5,159.0,79.0,1.4179999828338623,97.4000015258789,1001.8400268554688,127.0,97.4000015258789,108.4000015258789,609.0,601.0,609.0,1785885452000.0,0.11500000208616257,609.0
106.88944755122066,-6.437417473644018,0.5,159.0,79.0,1.5299999713897705,97.4000015258789,1004.1199951171875,127.0,97.4000015258789,108.4000015258789,610.0,602.0,610.0,1785885453000.0,0.0689999982714653,610.0
