sumMovingDuration,sumDistance,sumDuration,directHeartRate,directLongitude,directLatitude,directCorrectedElevation,directRunCadence,directUncorrectedElevation,sumElapsedDuration,directTimestamp,directElevation,directFractionalCadence,directSpeed,directDoubleCadence,directVerticalSpeed,elapsed_s
543.0,867.3800048828125,573.0,148.0,106.8899958115071,-6.43648574128747,97.4000015258789,80.0,107.4000015258789,578.0,1786057893000.0,97.4000015258789,0.5,1.819000005722046,161.0,-0.11599999666213989,578.0
548.0,874.9299926757812,578.0,149.0,106.88997192308307,-6.436549695208669,97.0,78.0,106.0,583.0,1786057898000.0,97.0,0.5,1.7640000581741333,157.0,-0.0689999982714653,583.0
552.0,880.4500122070312,582.0,149.0,106.88995155505836,-6.436595628038049,96.80000305175781,78.0,104.80000305175781,587.0,1786057902000.0,96.80000305175781,0.5,1.7170000076293945,157.0,-0.0729999989271164,587.0
555.0,884.9500122070312,585.0,151.0,106.88994258642197,-6.436635106801987,96.5999984741211,78.0,104.4000015258789,590.0,1786057905000.0,96.5999984741211,0.5,1.6979999542236328,157.0,-0.0430000014603138,590.0
563.0,897.8800048828125,593.0,148.0,106.8898906186223,-6.436740048229694,96.19999694824219,79.0,104.19999694824219,598.0,1786057913000.0,96.19999694824219,0.0,1.6519999504089355,158.0,-0.05299999937415123,598.0
565.0,900.719970703125,595.0,145.0,106.88987787812948,-6.436762344092131,96.0,76.0,104.19999694824219,600.0,1786057915000.0,96.0,0.5,1.6419999599456787,153.0,-0.052000001072883606,600.0
571.0,910.3099975585938,601.0,145.0,106.88983672298491,-6.436838787049055,95.80000305175781,78.0,105.19999694824219,606.0,1786057921000.0,95.80000305175781,0.0,1.6419999599456787,156.0,-0.05299999937415123,606.0
581.0,924.0599975585938,611.0,146.0,106.8897753674537,-6.436949260532856,95.5999984741211,76.0,106.0,616.0,1786057931000.0,95.5999984741211,0.5,1.5490000247955322,153.0,-0.01600000075995922,616.0
586.0,931.8599853515625,616.0,142.0,106.88972759060562,-6.437002820894122,95.80000305175781,75.0,105.80000305175781,621.0,1786057936000.0,95.80000305175781,0.0,1.5210000276565552,150.0,0.054999999701976776,621.0
589.0,935.72998046875,619.0,139.0,106.8897026963532,-6.437027212232351,96.0,74.0,105.5999984741211,624.0,1786057939000.0,96.0,0.5,1.5019999742507935,149.0,0.027000000700354576,624.0
590.0,937.030029296875,620.0,139.0,106.88969280570745,-6.437033582478762,96.0,74.0,105.5999984741211,625.0,1786057940000.0,96.0,0.5,1.5019999742507935,149.0,-0.02800000086426735,625.0
600.0,952.5,630.0,138.0,106.88958702608943,-6.437124777585268,96.0,76.0,105.5999984741211,635.0,1786057950000.0,96.0,0.5,1.465000033378601,153.0,0.012000000104308128,635.0
611.0,971.6699829101562,641.0,137.0,106.88950588926673,-6.437276490032673,97.0,77.0,106.4000015258789,646.0,1786057961000.0,97.0,0.5,1.5299999713897705,155.0,0.08699999749660492,646.0
622.0,989.8900146484375,652.0,138.0,106.88944436609745,-6.437429124489427,97.4000015258789,79.0,105.5999984741211,657.0,1786057972000.0,97.4000015258789,0.0,1.5770000219345093,158.0,0.039000000804662704,657.0
631.0,1005.5,661.0,139.0,106.88939181156456,-6.437559965997934,97.0,77.0,106.0,666.0,1786057981000.0,97.0,0.5,1.5959999561309814,155.0,-0.050999999046325684,666.0
640.0,1020.780029296875,670.0,139.0,106.88932936638594,-6.437682090327144,95.80000305175781,81.0,105.80000305175781,675.0,1786057990000.0,95.80000305175781,0.0,1.6239999532699585,162.0,-0.12399999797344208,675.0
644.0,1027.3800048828125,674.0,136.0,106.88928795978427,-6.437725089490414,95.19999694824219,80.0,105.4000015258789,679.0,1786057994000.0,95.19999694824219,0.5,1.6330000162124634,161.0,-0.15000000596046448,679.0
650.0,1037.0,680.0,136.0,106.88924387097359,-6.43779968842864,94.5999984741211,78.0,105.19999694824219,685.0,1786058000000.0,94.5999984741211,0.0,1.6330000162124634,156.0,-0.12399999797344208,685.0
658.0,1051.010009765625,688.0,139.0,106.88920246437192,-6.43791938200593,93.5999984741211,80.0,106.19999694824219,693.0,1786058008000.0,93.5999984741211,0.5,1.6419999599456787,161.0,-0.10999999940395355,693.0
659.0,1052.9300537109375,689.0,139.0,106.88919785432518,-6.437936229631305,93.5999984741211,79.0,106.4000015258789,694.0,1786058009000.0,93.5999984741211,0.5,1.6419999599456787,159.0,-0.10999999940395355,694.0
670.0,1069.75,700.0,139.0,106.88913549296558,-6.43807134591043,92.80000305175781,78.0,107.0,705.0,1786058020000.0,92.80000305175781,0.5,1.6610000133514404,157.0,-0.06199999898672104,705.0
672.0,1072.6199951171875,702.0,139.0,106.88910967670381,-6.438066652044654,92.5999984741211,77.0,106.80000305175781,707.0,1786058022000.0,92.5999984741211,0.5,1.6610000133514404,155.0,-0.16500000655651093,707.0
675.0,1078.0799560546875,705.0,139.0,106.88907690346241,-6.438029436394572,91.80000305175781,77.0,106.4000015258789,710.0,1786058025000.0,91.80000305175781,0.5,1.6519999504089355,155.0,-0.20900000631809235,710.0
681.0,1088.5699462890625,711.0,140.0,106.88908235169947,-6.437935642898083,92.19999694824219,79.0,106.19999694824219,716.0,1786058031000.0,92.19999694824219,0.0,1.6419999599456787,158.0,0.04500000178813934,716.0
684.0,1093.2099609375,714.0,143.0,106.88909383490682,-6.437895325943828,92.19999694824219,79.0,106.19999694824219,719.0,1786058034000.0,92.19999694824219,0.0,1.6519999504089355,158.0,0.020999999716877937,719.0
688.0,1099.9100341796875,718.0,146.0,106.88911621458828,-6.437838915735483,92.4000015258789,77.0,106.80000305175781,723.0,1786058038000.0,92.4000015258789,0.5,1.6519999504089355,155.0,0.05000000074505806,723.0
694.0,1109.4599609375,724.0,146.0,106.88914370723069,-6.437757024541497,92.5999984741211,78.0,107.80000305175781,729.0,1786058044000.0,92.5999984741211,0.5,1.6419999599456787,157.0,0.03700000047683716,729.0
699.0,1116.949951171875,729.0,143.0,106.88916902057827,-6.437694244086742,93.4000015258789,76.0,108.4000015258789,734.0,1786058049000.0,93.4000015258789,0.0,1.6330000162124634,152.0,0.13600000739097595,734.0
