directSpeed,directTimestamp,directFractionalCadence,directElevation,directRunCadence,directHeartRate,sumMovingDuration,sumDistance,directLatitude,directLongitude,sumDuration,sumElapsedDuration,directCorrectedElevation,directUncorrectedElevation,directDoubleCadence,directVerticalSpeed,elapsed_s
1.4459999799728394,1786229193000.0,0.0,75.0,0.0,152.0,293.0,571.5499877929688,-6.366776050999761,106.83205012232065,293.0,293.0,75.0,96.80000305175781,0.0,0.0,293.0
1.4459999799728394,1786229200000.0,0.0,75.0,60.0,151.0,300.0,582.1500244140625,-6.366680581122637,106.8320388905704,300.0,300.0,75.0,95.0,120.0,0.0,300.0
1.4459999799728394,1786229206000.0,0.5,75.4000015258789,60.0,148.0,306.0,592.9299926757812,-6.366585111245513,106.83205414563417,306.0,306.0,75.4000015258789,95.0,121.0,0.05900000035762787,306.0
1.4559999704360962,1786229207000.0,0.0,75.5999984741211,81.0,148.0,307.0,595.2999877929688,-6.366563988849521,106.83205842040479,307.0,307.0,75.5999984741211,95.19999694824219,162.0,0.19699999690055847,307.0
1.7450000047683716,1786229213000.0,0.5,76.80000305175781,82.0,146.0,313.0,606.8200073242188,-6.366461059078574,106.83204190805554,313.0,313.0,76.80000305175781,96.0,165.0,0.20499999821186066,313.0
1.753999948501587,1786229214000.0,0.0,77.0,82.0,146.0,314.0,608.3200073242188,-6.366447480395436,106.83204215951264,314.0,314.0,77.0,96.0,164.0,0.14499999582767487,314.0
1.6799999475479126,1786229222000.0,0.5,77.80000305175781,79.0,149.0,322.0,621.9099731445312,-6.366325691342354,106.83203838765621,322.0,322.0,77.80000305175781,92.5999984741211,159.0,0.12099999934434891,322.0
1.6979999542236328,1786229230000.0,0.0,77.4000015258789,81.0,149.0,330.0,635.0,-6.366207590326667,106.83203587308526,330.0,330.0,77.4000015258789,91.5999984741211,162.0,-0.052000001072883606,330.0
1.6610000133514404,1786229240000.0,0.5,76.80000305175781,80.0,148.0,340.0,652.219970703125,-6.366051770746708,106.83204903267324,340.0,340.0,76.80000305175781,89.5999984741211,161.0,-0.07599999755620956,340.0
1.6890000104904175,1786229247000.0,0.5,75.5999984741211,82.0,151.0,347.0,664.4600219726562,-6.3659426383674145,106.83204366825521,347.0,347.0,75.5999984741211,89.80000305175781,165.0,-0.16599999368190765,347.0
1.6890000104904175,1786229248000.0,0.5,75.4000015258789,82.0,151.0,348.0,666.5499877929688,-6.365924114361405,106.8320478592068,348.0,348.0,75.4000015258789,90.0,165.0,-0.2150000035762787,348.0
1.7170000076293945,1786229254000.0,0.5,74.19999694824219,81.0,154.0,354.0,678.4600219726562,-6.365816993638873,106.83206051588058,354.0,354.0,74.19999694824219,90.19999694824219,163.0,-0.20000000298023224,354.0
1.7450000047683716,1786229258000.0,0.5,74.0,82.0,155.0,358.0,686.3900146484375,-6.3657459150999784,106.83204911649227,358.0,358.0,74.0,89.4000015258789,165.0,-0.04600000008940697,358.0
1.7640000581741333,1786229266000.0,0.5,74.0,82.0,154.0,366.0,700.3599853515625,-6.365620354190469,106.83205582201481,366.0,366.0,74.0,88.19999694824219,165.0,-0.003000000026077032,366.0
1.7910000085830688,1786229276000.0,0.0,74.19999694824219,80.0,155.0,376.0,720.1900024414062,-6.365442238748074,106.83207250200212,376.0,376.0,74.19999694824219,89.5999984741211,160.0,0.020999999716877937,376.0
1.7910000085830688,1786229282000.0,0.0,74.5999984741211,83.0,158.0,382.0,732.3300170898438,-6.365332938730717,106.83206881396472,382.0,382.0,74.5999984741211,92.5999984741211,166.0,0.06800000369548798,382.0
