directRunCadence,directDoubleCadence,sumMovingDuration,sumDistance,directHeartRate,directCorrectedElevation,sumDuration,directUncorrectedElevation,directTimestamp,directFractionalCadence,directLatitude,directLongitude,sumElapsedDuration,directElevation,directSpeed,directVerticalSpeed,elapsed_s
82.0,164.0,347.0,672.4299926757812,150.0,75.5999984741211,420.0,98.80000305175781,1784593252000.0,0.0,-6.427115108817816,106.89457945525646,420.0,75.5999984741211,2.0899999141693115,0.05400000140070915,420.0
81.0,162.0,355.0,684.6900024414062,150.0,76.0,428.0,99.19999694824219,1784593260000.0,0.0,-6.427224660292268,106.89456319436431,428.0,76.0,2.0810000896453857,0.06800000369548798,428.0
60.0,120.0,357.0,687.030029296875,150.0,76.19999694824219,430.0,99.4000015258789,1784593262000.0,0.0,-6.4272447768598795,106.89455732703209,430.0,76.19999694824219,2.052999973297119,0.04699999839067459,430.0
0.0,0.0,361.0,692.760009765625,150.0,76.4000015258789,434.0,99.5999984741211,1784593266000.0,0.0,-6.427295906469226,106.89454894512892,434.0,76.4000015258789,1.465000033378601,0.05400000140070915,434.0
0.0,0.0,368.0,702.3800048828125,147.0,76.80000305175781,441.0,98.80000305175781,1784593273000.0,0.0,-6.427378971129656,106.89452111721039,441.0,76.80000305175781,1.3899999856948853,0.05700000002980232,441.0
0.0,0.0,370.0,704.8200073242188,147.0,76.80000305175781,443.0,98.4000015258789,1784593275000.0,0.0,-6.42739724367857,106.89450896345079,443.0,76.80000305175781,1.4179999828338623,0.054999999701976776,443.0
0.0,0.0,373.0,708.1400146484375,144.0,77.0,446.0,98.19999694824219,1784593278000.0,0.0,-6.427415180951357,106.89448490738869,446.0,77.0,1.409000039100647,0.05000000074505806,446.0
0.0,0.0,374.0,709.5,143.0,77.0,447.0,98.19999694824219,1784593279000.0,0.0,-6.42742607742548,106.8944791238755,447.0,77.0,1.409000039100647,0.05999999865889549,447.0
58.0,117.0,377.0,713.4099731445312,143.0,77.19999694824219,450.0,98.19999694824219,1784593282000.0,0.5,-6.427461197599769,106.89447451382875,450.0,77.19999694824219,1.38100004196167,0.04800000041723251,450.0
57.0,114.0,384.0,722.4500122070312,140.0,77.5999984741211,457.0,95.0,1784593289000.0,0.0,-6.427541077136993,106.89445909112692,457.0,77.5999984741211,1.2970000505447388,0.04899999871850014,457.0
56.0,112.0,388.0,727.3099975585938,140.0,77.80000305175781,461.0,93.80000305175781,1784593293000.0,0.0,-6.427581813186407,106.89444039948285,461.0,77.80000305175781,1.2599999904632568,0.05299999937415123,461.0
0.0,0.0,395.0,736.0700073242188,137.0,78.19999694824219,468.0,97.19999694824219,1784593300000.0,0.0,-6.427655071020126,106.89441047608852,468.0,78.19999694824219,1.2319999933242798,0.05299999937415123,468.0
