directRunCadence,sumDistance,directFractionalCadence,directSpeed,sumMovingDuration,directLatitude,directElevation,directDoubleCadence,sumDuration,directLongitude,directCorrectedElevation,sumElapsedDuration,directUncorrectedElevation,directHeartRate,directTimestamp,directVerticalSpeed,elapsed_s
77.0,562.530029296875,0.5,1.5579999685287476,387.0,-1.27720071002841,4.800000190734863,155.0,388.0,116.83612631633878,4.800000190734863,388.0,24.0,126.0,1785540583000.0,0.03099999949336052,388.0
79.0,572.219970703125,0.5,1.5579999685287476,392.0,-1.277196267619729,4.800000190734863,159.0,393.0,116.83603956364095,4.800000190734863,393.0,25.799999237060547,128.0,1785540588000.0,0.006000000052154064,393.0
78.0,587.8099975585938,0.0,1.5770000219345093,404.0,-1.2772052362561226,4.599999904632568,156.0,405.0,116.83590034022927,4.599999904632568,405.0,28.200000762939453,130.0,1785540600000.0,-0.004999999888241291,405.0
74.0,596.4600219726562,0.0,1.4739999771118164,412.0,-1.2771870475262403,4.599999904632568,148.0,413.0,116.83582507073879,4.599999904632568,413.0,26.799999237060547,131.0,1785540608000.0,-0.017000000923871994,413.0
72.0,601.4500122070312,0.5,1.3530000448226929,416.0,-1.2771858740597963,4.400000095367432,145.0,417.0,116.83578031137586,4.400000095367432,417.0,26.200000762939453,128.0,1785540612000.0,-0.039000000804662704,417.0
73.0,604.1599731445312,0.5,1.3250000476837158,418.0,-1.2771875504404306,4.199999809265137,147.0,419.0,116.83575541712344,4.199999809265137,419.0,26.0,126.0,1785540614000.0,-0.04800000041723251,419.0
74.0,614.0599975585938,0.0,1.315999984741211,426.0,-1.2771899811923504,4.0,148.0,427.0,116.8356659822166,4.0,427.0,25.399999618530273,125.0,1785540622000.0,-0.04100000113248825,427.0
74.0,615.3400268554688,0.0,1.3530000448226929,427.0,-1.277189226821065,4.0,148.0,428.0,116.83565449900925,4.0,428.0,25.200000762939453,125.0,1785540623000.0,-0.039000000804662704,428.0
76.0,618.219970703125,0.0,1.343999981880188,429.0,-1.277185119688511,3.799999952316284,152.0,430.0,116.83562935329974,3.799999952316284,430.0,25.200000762939453,124.0,1785540625000.0,-0.03799999877810478,430.0
73.0,624.6900024414062,0.5,1.371999979019165,434.0,-1.27718654461205,3.5999999046325684,147.0,435.0,116.83557076379657,3.5999999046325684,435.0,25.600000381469727,122.0,1785540630000.0,-0.0430000014603138,435.0
74.0,638.9000244140625,0.0,1.3899999856948853,443.0,-1.2772053200751543,3.0,148.0,444.0,116.83544285595417,3.0,444.0,27.0,121.0,1785540639000.0,-0.05900000035762787,444.0
75.0,649.4000244140625,0.0,1.399999976158142,452.0,-1.2772251013666391,2.799999952316284,150.0,453.0,116.83534881100059,2.799999952316284,453.0,27.0,119.0,1785540648000.0,-0.03700000047683716,453.0
74.0,660.4000244140625,0.0,1.371999979019165,461.0,-1.277220994234085,2.799999952316284,148.0,462.0,116.83524990454316,2.799999952316284,462.0,24.200000762939453,120.0,1785540657000.0,0.0020000000949949026,462.0
75.0,671.6300048828125,0.0,1.3530000448226929,470.0,-1.2772131990641356,2.799999952316284,150.0,471.0,116.83514999225736,2.799999952316284,471.0,21.399999618530273,122.0,1785540666000.0,0.003000000026077032,471.0
75.0,679.5700073242188,0.0,1.343999981880188,476.0,-1.2772134505212307,2.799999952316284,150.0,477.0,116.8350784946233,2.799999952316284,477.0,19.799999237060547,119.0,1785540672000.0,0.0,477.0
74.0,683.260009765625,0.0,1.3530000448226929,479.0,-1.2772129476070404,2.799999952316284,148.0,480.0,116.83504513464868,2.799999952316284,480.0,19.399999618530273,118.0,1785540675000.0,0.0010000000474974513,480.0
73.0,694.6599731445312,0.5,1.3339999914169312,488.0,-1.2772350758314133,3.200000047683716,147.0,489.0,116.83494589291513,3.200000047683716,489.0,19.200000762939453,117.0,1785540684000.0,0.04899999871850014,489.0
76.0,700.8900146484375,0.0,1.3250000476837158,494.0,-1.2772208265960217,3.799999952316284,152.0,495.0,116.83489174582064,3.799999952316284,495.0,19.399999618530273,116.0,1785540690000.0,0.09099999815225601,495.0
76.0,702.0,0.0,1.3250000476837158,495.0,-1.2772187311202288,3.799999952316284,152.0,496.0,116.83488193899393,3.799999952316284,496.0,19.600000381469727,116.0,1785540691000.0,0.09300000220537186,496.0
75.0,715.010009765625,0.0,1.2970000505447388,504.0,-1.277200374752283,4.599999904632568,150.0,505.0,116.83476702310145,4.599999904632568,505.0,20.799999237060547,119.0,1785540700000.0,0.07500000298023224,505.0
74.0,727.0499877929688,0.5,1.2690000534057617,514.0,-1.2772165518254042,4.400000095367432,149.0,515.0,116.8346537835896,4.400000095367432,515.0,24.0,120.0,1785540710000.0,-0.017000000923871994,515.0
