sumElapsedDuration,directSpeed,directUncorrectedElevation,directTimestamp,sumDuration,directRunCadence,directCorrectedElevation,directLatitude,directDoubleCadence,directElevation,directLongitude,sumDistance,directFractionalCadence,directHeartRate,sumMovingDuration,directVerticalSpeed,elapsed_s
2066.0,1.2970000505447388,101.0,1787702494000.0,2066.0,71.0,85.0,-6.430982435122132,142.0,85.0,106.89312226139009,3377.77001953125,0.0,124.0,2066.0,-0.06499999761581421,2066.0
2075.0,1.305999994277954,101.5999984741211,1787702503000.0,2075.0,72.0,84.19999694824219,-6.430873721837997,144.0,84.19999694824219,106.89315788447857,3390.3798828125,0.0,125.0,2075.0,-0.07199999690055847,2075.0
2083.0,1.315999984741211,102.5999984741211,1787702511000.0,2083.0,74.0,84.0,-6.430781604722142,148.0,84.0,106.8932047393173,3401.830078125,0.0,123.0,2083.0,-0.032999999821186066,2083.0
2086.0,1.3250000476837158,102.5999984741211,1787702514000.0,2086.0,73.0,84.0,-6.430753776803613,147.0,84.0,106.89322158694267,3405.340087890625,0.5,123.0,2086.0,0.0,2086.0
2090.0,1.3250000476837158,102.5999984741211,1787702518000.0,2090.0,72.0,84.0,-6.430711029097438,145.0,84.0,106.89324581064284,3410.7099609375,0.5,123.0,2090.0,0.0,2090.0
2099.0,1.3250000476837158,103.4000015258789,1787702527000.0,2099.0,72.0,84.0,-6.430603992193937,144.0,84.0,106.89327850006521,3423.179931640625,0.0,125.0,2099.0,0.0,2099.0
2107.0,1.343999981880188,105.19999694824219,1787702535000.0,2107.0,70.0,83.80000305175781,-6.430507265031338,140.0,83.80000305175781,106.89330180175602,3434.02001953125,0.0,125.0,2107.0,-0.013000000268220901,2107.0
2114.0,1.3619999885559082,105.5999984741211,1787702542000.0,2114.0,72.0,83.5999984741211,-6.430433671921492,145.0,83.5999984741211,106.89334161579609,3443.39990234375,0.5,125.0,2114.0,-0.03799999877810478,2114.0
2120.0,1.3619999885559082,105.19999694824219,1787702548000.0,2120.0,72.0,83.4000015258789,-6.4303783513605595,144.0,83.4000015258789,106.89339039847255,3451.530029296875,0.0,123.0,2120.0,-0.032999999821186066,2120.0
2121.0,1.3619999885559082,105.19999694824219,1787702549000.0,2121.0,72.0,83.4000015258789,-6.430369047448039,144.0,83.4000015258789,106.89339836128056,3452.8798828125,0.0,122.0,2121.0,-0.032999999821186066,2121.0
